"date","gauge","rain","snow","temp","hydr_year"
1980-01-01,7.60258186054834,1.168104331,0,12.1937499576145,0
1980-01-02,5.94457198670535,0.016207227,0,9.78245343102349,0
1980-01-03,4.83249219327408,0.003214179,0,11.5656876034207,0
1980-01-04,4.08436578678395,0.027632605,0,11.7971488104926,0
1980-01-05,3.55865533898007,0.025084533,0,10.8793307410346,0
1980-01-06,3.1340430542154,0.034785284,0,11.1327461666531,0
1980-01-07,2.85096819770563,0.187370026,0,11.4418971803453,0
1980-01-08,2.70943076945074,1.844084673,0,10.4840222464667,0
1980-01-09,12.2530973603518,22.33220757,0,10.9460264841715,0
1980-01-10,17.1260288188416,19.86729717,0,9.07781463199192,0
1980-01-11,33.3623938029382,55.89295663,0,10.7127719455295,0
1980-01-12,42.6634248025452,52.31086265,0,14.8505114449395,0
1980-01-13,51.357866823917,56.75137795,0,14.5255255169339,0
1980-01-14,56.6149713019557,38.44638591,0,13.1402343114217,0
1980-01-15,39.0238909331337,10.02540546,0,9.89093430836996,0
1980-01-16,29.9250562596052,7.906882657,0,12.2150976392958,0
1980-01-17,25.2745407598017,5.789572663,0,10.4256973266602,0
1980-01-18,19.6130436296061,3.402418587,0,7.62878608703613,0
1980-01-19,15.4477993123908,0.004017157,0,4.6192307472229,0
1980-01-20,12.617050747293,0.000295192,0,7.44633928934733,0
1980-01-21,10.5142089560775,0.000203768,0,8.6938984129164,0
1980-01-22,8.95729724527371,0.004972828,0,11.8181294335259,0
1980-01-23,7.86543708445027,9.22e-05,0,12.7790353563097,0
1980-01-24,6.95555361709741,0,0,12.1428373124864,0
1980-01-25,6.28830574103865,0,0,10.946494102478,0
1980-01-26,5.74237566062693,0.007889832,0,9.81775845421685,0
1980-01-27,5.31776337586227,0.141556083,0,8.85231240590413,0
1980-01-28,4.99424925413681,0.481278211,0,7.96673652860853,0
1980-01-29,4.71117439762703,0.27305626,0,5.60953993267483,0
1980-01-30,4.38766027590157,0.081105519,0,6.89144558376736,0
1980-01-31,4.14502468460747,0.113606542,0,10.6153132120768,0
1980-02-01,3.92260872592122,0.089532292,0,11.6953085793389,0
1980-02-02,3.7204123998428,0.001416868,0,12.7972172631158,0
1980-02-03,3.53843570637223,0.000333172,0,12.7277048958672,0
1980-02-04,3.41711791072518,0.000711715,0,13.5333522160848,0
1980-02-05,3.29580011507814,0.043649314,0,13.5923243628608,0
1980-02-06,3.17448231943109,0.221466861,0,12.8344029320611,0
1980-02-07,3.07338415639188,0.001094403,0,10.4099249309964,0
1980-02-08,2.97228599335267,6.58e-05,0,10.3322911792331,0
1980-02-09,2.87118783031347,4.98e-05,0,11.2761840820312,0
1980-02-10,2.81052893248994,0.000827897,0,9.8146768146091,0
1980-02-11,2.74987003466642,0.012465812,0,9.13588333129883,0
1980-02-12,2.6892111368429,0.001586335,0,9.03682396146986,0
1980-02-13,2.6892111368429,4.846699344,0,8.51498519049751,0
1980-02-14,4.63029586719566,20.33316602,0,9.55265945858426,0
1980-02-15,5.96479161931319,26.09703594,0,11.2396232816908,0
1980-02-16,13.1832004603125,40.72039371,0,12.4566399256388,0
1980-02-17,32.9580011507813,39.92467668,0,12.3484948476156,0
1980-02-18,33.5645901290166,38.73624696,0,13.4081022474501,0
1980-02-19,33.5645901290166,42.94286007,0,11.1497323777941,0
1980-02-20,34.5755717594087,21.87806575,0,8.32481786939833,0
1980-02-21,41.2480505199963,33.99659877,0,10.1279035144382,0
1980-02-22,33.3623938029382,3.578820282,0,9.04325379265679,0
1980-02-23,27.4987003466642,0.956059251,0,11.2851875093248,0
1980-02-24,22.039399542547,0.042677088,0,12.4669247733222,0
1980-02-25,17.5304214709984,0.069076024,0,14.6844046910604,0
1980-02-26,14.6794532732928,0.000274607,0,15.066004647149,0
1980-02-27,14.1133035602732,3.266421252,0,15.1961188846164,0
1980-02-28,15.1242851906653,16.21089988,0,10.944416364034,0
1980-02-29,11.9093636060185,0.402714935,0,11.1107836829291,0
1980-03-01,10.5546482212932,0.145838882,0,11.5232705010308,0
1980-03-02,11.080358669097,12.54376486,0,9.24500401814779,0
1980-03-03,17.6719588992533,18.54476123,0,10.0242968665229,0
1980-03-04,13.6684716429007,0.838236312,0,10.4484031465318,0
1980-03-05,18.217888979665,17.70741759,0,9.6321079466078,0
1980-03-06,16.822734329724,12.14321931,0,8.15600633621216,0
1980-03-07,14.396378416783,0.998920778,0,8.63232066896227,0
1980-03-08,12.8799059711949,0.043153799,0,10.0052223205566,0
1980-03-09,11.464531688646,0.010860881,0,12.3159885406494,0
1980-03-10,10.3120126299991,0.270007806,0,12.6538609398736,0
1980-03-11,9.32125063221485,1.683192942,0,9.81757820977105,0
1980-03-12,8.2698297366071,0.860014505,0,7.68079752392239,0
1980-03-13,7.60258186054834,0.00536042,0,8.97563483979967,0
1980-03-14,7.07687141274446,0.121306133,0,9.74159706963433,0
1980-03-15,6.57138059754843,0.693821205,0,8.91260057025486,0
1980-03-16,6.12654868017592,0,0,8.49006520377265,0
1980-03-17,5.80303455845046,0.000662239,0,9.79954889085558,0
1980-03-18,5.5806185997642,0.375576523,0,8.33018573125204,0
1980-03-19,5.27732411064658,5.1e-05,0,11.1032457351685,0
1980-03-20,5.03468851935249,0.020236425,0,11.4203196631538,0
1980-03-21,5.05490815196033,2.529405541,0,7.85514603720771,0
1980-03-22,4.77183329545055,1.28298782,0,9.73385259840224,0
